dancing-queen | Dancing Queen | ABBA
sweet-but-psycho | Sweet but Psycho | Ava Max
cant-stop-the-feeling-from-dreamworks-animations-trolls | CAN'T STOP THE FEELING! | Justin Timberlake
cake-by-the-ocean | Cake By The Ocean | DNCE
kings-queens | Kings & Queens | Ava Max
lovefool | Lovefool | The Cardigans
bad-guy | bad guy | Billie Eilish
drivers-license | drivers license | Olivia Rodrigo
royals | Royals | Lorde
cheap-thrills | Cheap Thrills | Sia
as-it-was | As It Was | Harry Styles
watermelon-sugar | Watermelon Sugar | Harry Styles
anti-hero | Anti-Hero | Taylor Swift
flowers | Flowers | Miley Cyrus
good-4-u | good 4 u | Olivia Rodrigo
someone-you-loved | Someone You Loved | Lewis Capaldi
who-let-the-dogs-out | Who Let the Dogs Out | Baha Men
shape-of-you | Shape of You | Ed Sheeran
born-this-way | Born This Way | Lady Gaga
chandelier | Chandelier | Sia
photograph | Photograph | Ed Sheeran
7-years | 7 Years | Lukas Graham
in-my-blood | In My Blood | Shawn Mendes
circles | Circles | Post Malone
peaches | Peaches | Justin Bieber
traitor | traitor | Olivia Rodrigo
vampire | Vampire | Olivia Rodrigo
espresso | Espresso | Sabrina Carpenter
birds-of-a-feather | Birds of a Feather | Billie Eilish
all-about-that-bass | All About That Bass | Meghan Trainor
bad-blood | Bad Blood | Taylor Swift
please-please-please | Please Please Please | Sabrina Carpenter
walking-on-sunshine | Walking on Sunshine | Katrina and the Waves
99-red-balloons | 99 Red Balloons | Nena
tubthumping | Tubthumping | Chumbawamba
hollaback-girl | Hollaback Girl | Gwen Stefani
mamma-mia | Mamma Mia | ABBA
dont-you-forget-about-me | Don't You (Forget About Me) | Simple Minds
thriller | Thriller | Michael Jackson
time-after-time | Time After Time | Cyndi Lauper
sorry | Sorry | Justin Bieber
love-yourself | Love Yourself | Justin Bieber
7-rings | 7 Rings | Ariana Grande
intentions | Intentions | Justin Bieber
replay | Replay | Iyaz
faith | Faith | George Michael
shout | Shout | Tears for Fears
black-or-white | Black or White | Michael Jackson
grenade | Grenade | Bruno Mars
see-you-again | See You Again | Wiz Khalifa & Charlie Puth
what-do-you-mean | What Do You Mean | Justin Bieber
cool-for-the-summer | Cool for the Summer | Demi Lovato
glad-you-came | Glad You Came | The Wanted
break-your-heart | Break Your Heart | Taio Cruz
billionaire | Billionaire | Travie McCoy & Bruno Mars
footloose | Footloose | Kenny Loggins
take-my-breath-away | Take My Breath Away | Berlin
careless-whisper | Careless Whisper | George Michael
everybody-wants-to-rule-the-world | Everybody Wants to Rule the World | Tears for Fears
sweet-dreams-are-made-of-this | Sweet Dreams (Are Made of This) | Eurythmics
adventure-of-a-lifetime | Adventure of a Lifetime | Coldplay
heart-of-glass | Heart of Glass | Blondie
ymca | Y.M.C.A. | Village People
my-heart-will-go-on | My Heart Will Go On | Celine Dion
when-i-was-your-man | When I Was Your Man | Bruno Mars
one-kiss | One Kiss | Calvin Harris ft. Dua Lipa
i-want-you-back | I Want You Back | The Jackson 5
abc-jackson-5 | ABC | The Jackson 5
crocodile-rock | Crocodile Rock | Elton John
call-me-blondie | Call Me | Blondie
escape-pina-colada-song | Escape (The Piña Colada Song) | Rupert Holmes
the-sign | The Sign | Ace of Base
we-dont-talk-anymore | We Don't Talk Anymore | Charlie Puth
night-changes | Night Changes | One Direction
when-the-partys-over | when the party's over | Billie Eilish
memories-maroon5 | Memories | Maroon 5
attention-charlie-puth | Attention | Charlie Puth
hips-dont-lie | Hips Don't Lie | Shakira
before-you-go | Before You Go | Lewis Capaldi
im-yours | I'm Yours | Jason Mraz
i-took-a-pill-in-ibiza | I Took A Pill In Ibiza | Mike Posner
maps-maroon5 | Maps | Maroon 5
summertime-sadness | Summertime Sadness | Lana Del Rey
i-like-me-better | I Like Me Better | Lauv
i-aint-worried | I Ain't Worried | OneRepublic
ghost-justin-bieber | Ghost | Justin Bieber
greedy | greedy | Tate McRae
last-christmas | Last Christmas | Wham!
dusk-till-dawn | Dusk Till Dawn | ZAYN
ocean-eyes | ocean eyes | Billie Eilish
let-me-down-slowly | Let Me Down Slowly | Alec Benjamin
i-dont-care | I Don't Care | Ed Sheeran
bad-habits | Bad Habits | Ed Sheeran
timber | Timber | Pitbull
good-luck-babe | Good Luck, Babe! | Chappell Roan
talking-to-the-moon | Talking to the Moon | Bruno Mars
young-and-beautiful | Young And Beautiful | Lana Del Rey
one-last-time | One Last Time | Ariana Grande
give-me-everything | Give Me Everything | Pitbull
shivers | Shivers | Ed Sheeran
lover | Lover | Taylor Swift
cardigan | cardigan | Taylor Swift
hall-of-fame | Hall of Fame | The Script
dark-horse | Dark Horse | Katy Perry
animals-maroon-5 | Animals | Maroon 5
happier-than-ever | Happier Than Ever | Billie Eilish
love-me-like-you-do | Love Me Like You Do | Ellie Goulding
a-bar-song-tipsy | A Bar Song (Tipsy) | Shaboozey
castle-on-the-hill | Castle on the Hill | Ed Sheeran
golden-hour | golden hour | JVKE
marry-you | Marry You | Bruno Mars
baby-bieber | Baby | Justin Bieber
california-gurls | California Gurls | Katy Perry
california-dreamin | California Dreamin' | The Mamas & The Papas
bye-bye-bye | Bye Bye Bye | *NSYNC
pink-pony-club | Pink Pony Club | Chappell Roan
higher-love-kygo | Higher Love | Kygo
tequila-dan-shay | Tequila | Dan + Shay
black-widow-iggy | Black Widow | Iggy Azalea
in-case-you-didnt-know | In Case You Didn't Know | Brett Young
bad-idea-right | bad idea right? | Olivia Rodrigo
you-found-me | You Found Me | The Fray
jealous-nick-jonas | Jealous | Nick Jonas
talking-body | Talking Body | Tove Lo
all-time-low-jon-bellion | All Time Low | Jon Bellion
cant-take-my-eyes-off-you | Can't Take My Eyes Off You | Frankie Valli
fly-me-to-the-moon | Fly Me To The Moon | Frank Sinatra
how-deep-is-your-love | How Deep Is Your Love | Bee Gees
manic-monday | Manic Monday | The Bangles
bad-liar-imagine-dragons | Bad Liar | Imagine Dragons
walking-on-a-dream | Walking On A Dream | Empire of the Sun
