sweet-home-alabama | Sweet Home Alabama | Lynyrd Skynyrd
eye-of-the-tiger | Eye of the Tiger | Survivor
la-bamba | La Bamba | Los Lobos
go-your-own-way | Go Your Own Way | Fleetwood Mac
dreams | Dreams | Fleetwood Mac
the-chain | The Chain | Fleetwood Mac
africa | Africa | Toto
dont-stop-me-now | Don't Stop Me Now | Queen
under-pressure | Under Pressure | Queen & David Bowie
piano-man | Piano Man | Billy Joel
let-it-be | Let It Be | The Beatles
come-together | Come Together | The Beatles
twist-and-shout | Twist and Shout | The Beatles
how-you-remind-me | How You Remind Me | Nickelback
lips-of-an-angel | Lips of an Angel | Hinder
you-give-love-a-bad-name | You Give Love a Bad Name | Bon Jovi
tiny-dancer | Tiny Dancer | Elton John
rocket-man | Rocket Man | Elton John
the-joker | The Joker | Steve Miller Band
fly-like-an-eagle | Fly Like an Eagle | Steve Miller Band
free-fallin | Free Fallin' | Tom Petty
here-comes-the-sun | Here Comes the Sun | The Beatles
brown-eyed-girl | Brown Eyed Girl | Van Morrison
summer-of-69 | Summer of '69 | Bryan Adams
edge-of-seventeen | Edge of Seventeen | Stevie Nicks
american-pie | American Pie | Don McLean
another-one-bites-the-dust | Another One Bites the Dust | Queen
stairway-to-heaven | Stairway to Heaven | Led Zeppelin
imagine | Imagine | John Lennon
all-along-the-watchtower | All Along the Watchtower | Jimi Hendrix
money-pink-floyd | Money | Pink Floyd
gimme-shelter | Gimme Shelter | The Rolling Stones
goodbye-yellow-brick-road | Goodbye Yellow Brick Road | Elton John
highway-to-hell | Highway to Hell | AC/DC
november-rain | November Rain | Guns N' Roses
walk-this-way | Walk This Way | Aerosmith
jump | Jump | Van Halen
light-my-fire | Light My Fire | The Doors
dream-on | Dream On | Aerosmith
tears-in-heaven | Tears in Heaven | Eric Clapton
iris | Iris | Goo Goo Dolls
everlong | Everlong | Foo Fighters
jailhouse-rock | Jailhouse Rock | Elvis Presley
free-bird | Free Bird | Lynyrd Skynyrd
my-sharona | My Sharona | The Knack
the-twist | The Twist | Chubby Checker
crazy-little-thing-called-love | Crazy Little Thing Called Love | Queen
its-still-rock-and-roll-to-me | It's Still Rock and Roll to Me | Billy Joel
torn | Torn | Natalie Imbruglia
ill-be-there-for-you | I'll Be There for You | The Rembrandts
fly-sugar-ray | Fly | Sugar Ray
uninvited | Uninvited | Alanis Morissette
all-star | All Star | Smash Mouth
somewhere-only-we-know | Somewhere Only We Know | Keane
have-you-ever-seen-the-rain | Have You Ever Seen The Rain | Creedence Clearwater Revival
thunderstruck | Thunderstruck | AC/DC
beggin | Beggin' | Måneskin
back-in-black | Back In Black | AC/DC
enemy | Enemy | Imagine Dragons
fortunate-son | Fortunate Son | Creedence Clearwater Revival
sultans-of-swing | Sultans of Swing | Dire Straits
zombie-cranberries | Zombie | The Cranberries
paint-it-black | Paint It, Black | The Rolling Stones
welcome-to-the-jungle | Welcome To The Jungle | Guns N' Roses
should-i-stay-or-should-i-go | Should I Stay or Should I Go | The Clash
house-of-the-rising-sun | House of the Rising Sun | The Animals
mr-blue-sky | Mr. Blue Sky | Electric Light Orchestra
bad-moon-rising | Bad Moon Rising | Creedence Clearwater Revival
danger-zone | Danger Zone | Kenny Loggins
pretty-fly-for-a-white-guy | Pretty Fly (For A White Guy) | The Offspring
say-it-aint-so | Say It Ain't So | Weezer
long-cool-woman | Long Cool Woman (In a Black Dress) | The Hollies
born-to-be-wild | Born To Be Wild | Steppenwolf
lonely-boy | Lonely Boy | The Black Keys
sympathy-for-the-devil | Sympathy For The Devil | The Rolling Stones
even-flow | Even Flow | Pearl Jam
start-me-up | Start Me Up | The Rolling Stones
aint-no-rest-for-the-wicked | Ain't No Rest For The Wicked | Cage The Elephant
i-was-made-for-lovin-you | I Was Made For Lovin' You | KISS
